run_id	metric	metric_value	memory_gb	runtime_s	status	description
poc-semantic	support_recall	0.875	0.5	30	keep	semantic search only baseline
poc-semantic	utility_at_budget	1.019	0.5	30	keep	semantic search only baseline
poc-graph	support_recall	1.000	0.5	30	keep	entity graph only baseline
poc-graph	utility_at_budget	1.200	0.5	30	keep	entity graph only baseline
poc-heuristic	support_recall	1.000	0.5	30	keep	adaptive heuristic routing
poc-heuristic	utility_at_budget	1.380	0.5	30	keep	adaptive heuristic routing
poc-oracle	switching_rate	0.150	0.0	0	keep	15% of questions need substrate switching (hardcoded easy data)
poc2-semantic	support_recall	0.630	0.5	26	keep	real HotpotQA semantic search only
poc2-semantic	utility_at_budget	0.189	0.5	26	keep	real HotpotQA semantic search only
poc2-graph	support_recall	0.930	0.5	26	keep	real HotpotQA entity graph only
poc2-graph	utility_at_budget	0.175	0.5	26	keep	real HotpotQA entity graph only
poc2-heuristic	support_recall	0.930	0.5	26	keep	real HotpotQA adaptive heuristic routing
poc2-heuristic	utility_at_budget	0.313	0.5	26	keep	real HotpotQA adaptive heuristic routing
poc2-oracle	switching_rate	0.440	0.0	0	keep	44% switching on real HotpotQA bridge questions
hotpotqa-semantic	support_recall	0.750	0.5	60	keep	semantic search only on HotpotQA N=100
hotpotqa-semantic	utility_at_budget	0.0149	0.5	60	keep	semantic search only on HotpotQA N=100
hotpotqa-lexical	support_recall	0.810	0.5	60	keep	BM25 search only on HotpotQA N=100
hotpotqa-lexical	utility_at_budget	0.0169	0.5	60	keep	BM25 search only on HotpotQA N=100
hotpotqa-entity	support_recall	0.715	0.5	60	keep	entity graph only on HotpotQA N=100
hotpotqa-entity	utility_at_budget	-0.0409	0.5	60	keep	entity graph only on HotpotQA N=100
hotpotqa-ensemble	support_recall	0.940	0.5	60	keep	ensemble (all substrates) on HotpotQA N=100
hotpotqa-ensemble	utility_at_budget	0.0028	0.5	60	keep	ensemble (all substrates) on HotpotQA N=100
hotpotqa-heuristic	support_recall	0.800	0.5	60	keep	AEA heuristic routing on HotpotQA N=100
hotpotqa-heuristic	utility_at_budget	0.0163	0.5	60	keep	AEA heuristic routing on HotpotQA N=100
